Date,Amount,Description
2026-01-03,-15.99,NETFLIX.COM
2026-02-03,-15.99,NETFLIX.COM
2026-03-03,-15.99,NETFLIX.COM
2026-04-03,-15.99,NETFLIX.COM
2026-05-03,-15.99,NETFLIX.COM
2026-06-03,-15.99,NETFLIX.COM
2026-01-06,-9.99,SPOTIFY USA
2026-02-06,-9.99,SPOTIFY USA
2026-03-06,-9.99,SPOTIFY USA
2026-04-06,-9.99,SPOTIFY USA
2026-05-06,-9.99,SPOTIFY USA
2026-06-06,-9.99,SPOTIFY USA
2026-06-09,-82.14,WHOLE FOODS MARKET
2026-06-11,-43.20,SHELL OIL
2026-06-14,-128.65,HOME DEPOT
2026-06-15,2500.00,EMPLOYER PAYROLL DEPOSIT
2026-06-18,-22.50,CHIPOTLE
2026-06-30,2500.00,EMPLOYER PAYROLL DEPOSIT
